"dcg"
{
	// General Strings
	"OK"											"ОК"
	"DCG_PlaySoloGame_EditDeck"								"ИЗМЕНИТЬ"
	"DCG_PlaySoloGame_ViewDeck"								"ПОКАЗАТЬ"
	"DCG_PlaySoloGame_CopyDeck"								"СКОПИРОВАТЬ"
	"DCG_PlayAIGame_SelectYourDeck"								"ВАША КОЛОДА"
	"DCG_PlayAIGame_SelectAIDeck"								"КОЛОДА БОТА:"
	"DCG_PlayAIGame_SelectDifficulty"							"БОТ:"

	"DCG_SelectDeck"											"Выбрать колоду"
	"DCG_SelectAIDeck"											"Выбрать колоду для бота"

	"DCG_LoadDeck_SelectDeckTitle"								"Выберите колоду для себя"
	"DCG_LoadDeck_SelectTournamentDeckTitle"					"Выберите турнирную колоду"
	"DCG_LoadDeck_SelectAIDeckTitle"							"Выберите колоду для бота"
	"DCG_LoadDeck_ShowDeckInfo"									"Полный список карт"
	"DCG_LoadDeck_Filter"										"Фильтр"
	"DCG_LoadDeck_AllDecksTag"									"Все колоды"
	"DCG_LoadDeck_RecentDecksTag"								"Недавние колоды"
	"DCG_LoadDeck_UserDecksTag"									"Пользовательские колоды"
	"DCG_LoadDeck_PuzzleDecksTag"								"Колоды для задач"
	"DCG_LoadDeck_SharedDecksTag"								"Чужие колоды"
	"DCG_LoadDeck_FilterPlaceholder"							"Фильтровать по названию или героям"
	"DCG_LoadDeck_ImportDeckFromClipboard"						"Импортировать колоду из буфера обмена"
	"DCG_LoadDeck_ValidDecksOnly"								"Только допустимые колоды:"
	"DCG_LoadDeck_SharedDeck"									"Чужая:"
	"DCG_LoadDeck_CallToArmsAbbreviation"						"Зов битвы:"
	"DCG_LoadDeck_QuickBotAbbreviation"							"Быстрая колода:"
	"DCG_LoadDeck_UserDeckType"									"{s:deckName}"
	"DCG_LoadDeck_Delete"										"Удалить"
	"DCG_LoadDeck_ConfirmDeleteTitle"							"Удалить колоду"
	"DCG_LoadDeck_ConfirmDeleteDesc"							"Вы действительно хотите удалить колоду «{s:deleteDeckName}»?"
	"DCG_LoadDeck_ClipboardDeckName"							"Колода в буфере обмена"
	"DCG_LoadDeck_UntitledDeck"									"Колода без названия"
	"DCG_LoadDeck_DeleteDeck"									"Удалить"
	"DCG_LoadDeck_Bar"											"|"
	"DCG_LoadDeck_DeckErrors"									"Колодой играть нельзя"
	"DCG_LoadDeck_StartGame"									"ИГРАТЬ"
	"DCG_LoadDeck_PrevDeck"										"НАЗАД"
	"DCG_LoadDeck_NextDeck"										"ДАЛЕЕ"
	"DCG_LoadDeck_SparringMatch"								"Глобальный подбор игры"
	"DCG_LoadDeck_FreeConstructed"								"Личная колода"
	"DCG_LoadDeck_FreeDraft"									"Фантомный драфт"
	"DCG_LoadDeck_SelectOpponent"								"ВЫБЕРИТЕ ПРОТИВНИКА"
	"DCG_LoadDeck_SelectYourDeck"								"ВЫБЕРИТЕ КОЛОДУ ДЛЯ СЕБЯ"
	"DCG_LoadDeck_SelectAIDeck"									"ВЫБЕРИТЕ КОЛОДУ ДЛЯ БОТА"
	"DCG_LoadDeck_Tournament"									"Турниры"
	"DCG_LoadDeck_SelectTournament"								"Выберите турнир, чтобы просмотреть информацию"
	"DCG_LoadDeck_TournamentDetails"							"Открыть"
	"DCG_LoadDeckSelect_Gauntlet"								"Состязание"
	"DCG_LoadDeckSelect_Friend"									"Игра с другом"
	"DCG_LoadDeckSelect_AI"										"Игра с ботом"
	"DCG_LoadDeckSelect_MatchMaking"							"Поиск игры"
	"DCG_LoadDeckSelect_Tournament"								"Турниры"
	"DCG_LoadDeckSelect_FindOpponent"							"Найти игру"
	"DCG_LoadDeckSelect_AboutAIMatch"							"Выберите колоду и сыграйте против бота — он может использовать даже те колоды и карты, которых у вас нет!"
	"DCG_LoadDeckSelect_AboutSparringMatch"						"Выберите личную колоду и сыграйте против случайного противника, равного вам по мастерству."
	"DCG_LoadDeckSelect_AboutGauntletMatch"						"Сыграйте в режиме состязания с противником (следующая панель не готова)"
	"DCG_LoadDeckSelect_AboutTournamentMatch"					"Примите участие в турнире или создайте свой"
	"DCG_LoadDeckSelect_FriendSelect"							"Бросьте вызов вашему другу из Steam."
	"DCG_LoadDeckSelect_ChallengeFriend"						"Бросить вызов другу"
	"DCG_LoadDeckSelect_GroupMatch"								"Открытая игра"
	"DCG_LoadDeckSelect_GroupSelect"							"Покажите игрокам из вашего списка друзей или группового чата Steam, что вы хотите сыграть."
	"DCG_LoadDeckSelect_TourneyPicker"							"Играйте в турнирах от сообщества, создайте собственный для себя и друзей или присоединитесь к открытому турниру формата «Все со всеми»."
	"DCG_LoadDeckSelect_Cancel"									"Отмена"
	"DCG_LoadDeckSelect_Gauntlet_EditDeck"						"Изменить колоду"
	"DCG_LoadDeck_ValidDecksTooltip"							"Убрать колоды, которые нельзя использовать из-за ошибок или отсутствующих карт"
	"DCG_LoadDeck_UnownedCards"									"У вас есть не все карты из этой колоды"
	

	"DCG_MatchHistory_Date"										"Дата"
	"DCG_MatchHistory_Player1"									"Игрок 1"
	"DCG_MatchHistory_Player2"									"Игрок 2"
	"DCG_MatchHistory_MatchType"								"Тип игры"
	"DCG_MatchHistory_Duration"									"Длительность"
	"DCG_MatchHistory_Turns"									"Раундов"
	"DCG_MatchHistory_Replay"									"Запись"
	"DCG_MatchHistory_WatchReplay"								"Смотреть запись"
	"DCG_MatchHistory_MatchDetails"								"Информация об игре"
	"DCG_MatchHistory_BotMatch"									"Игра с ботом"
	"DCG_MatchHistory_Gauntlet"									"Состязание"
	"DCG_MatchHistory_Unranked"									"Поиск игры"
	"DCG_MatchHistory_Draft"									"Hero Draft"
	"DCG_MatchHistory_PrivateLobby"								"Вызов"
	"DCG_MatchHistory_Unknown"									"Неизвестно"
	"DCG_MatchHistory_HistoryFor"								"{g:dcg_persona:user}: история игр"
	"DCG_MatchHistory_HideBotMatches"							"Скрыть игры с ботом"
	"DCG_MatchHistory_HideShortMatches"							"Скрыть короткие игры (&lt;5min)"
	"DCG_MatchHistory_Time"										"Время"
	"DCG_MatchHistory_Player1Deck"								"Player Deck"
	"DCG_MatchHistory_Player2Deck"								"Opponent Deck"
	"DCG_MatchDetails_SkillRating"								"Skill Rating: {i:skill_rating}"
	"DCG_MatchDetails_Date"										"Дата"
	"DCG_MatchDetails_Gauntlet"									"Состязание"
	"DCG_MatchDetails_Versus"									"и"
	"DCG_MatchDetails_Length"									"Length {s:duration} - {d:turns} Rounds"
	"DCG_MatchDetails_MatchID"									"Match ID"
	"DCG_MatchDetails_MatchDuration"							"Match Duration"
	"DCG_MatchDetails_MatchType"								"Match Type"
	"DCG_MatchDetails_Winner"									"Победа"
	"DCG_MatchDetails_Close"									"Закрыть"
	"DCG_MatchDetails_Replay"									"Смотреть запись"
	"DCG_MatchDetails_Versus"									"и"
	"DCG_MatchDetails_ViewProfile"								"View Profile"
	"DCG_MatchDetails_SkillRating"								"Skill Rating"
	"DCG_MatchDetails_StatusLoading"							"Загрузка"
	"DCG_MatchDetails_StatusInvalid"							"Недействительная игра"
	"DCG_MatchDetails_StatusPrivate"							"Это закрытая игра"
	"DCG_MatchDetails_StatusError"								"Произошла внутренняя ошибка"
	"DCG_MatchDetails_Time"										"Время"
	"DCG_MatchDetails_Title"									"Детали матча"

	"DCG_Hud_Concede"											"СДАТЬСЯ"
	"DCG_Hud_LastCard_LastPlay"									"Последний ход"
	"DCG_Hud_LastCard_CardPlayed"								"Разыгранная карта"
	"DCG_Hud_LastCard_ActivatedAbility"							"Активная способность"
	"DCG_Hud_LastCard_OnlyTarget"								"<span class=\"TargetText\">Цель:</span>"
	"DCG_Hud_LastCard_FirstTarget"								"<span class=\"TargetText\">Первая цель:</span>"
	"DCG_Hud_LastCard_SecondTarget"								"<span class=\"TargetText\">Вторая цель:</span>"
	"DCG_Hud_LastCard_LaneTarget"								"<span class=\"TargetText\">Выбранная линия:</span> Lane {i:target_lane}"
	"DCG_Hud_LastCard_DiscardedCard"							"<span class=\"TargetText\">Сброшенная карта:</span> {s:discarded_card}"
	"DCG_Hud_Initiative"										"Инициатива"
	"DCG_HUD_SteamChat"											"Отправить сообщение в Steam"
	"DCG_HUD_Menu"												"Меню"
	"DCG_HUD_HandSort"											"Сортировка руки"
	"DCG_HUD_Fountain"											"Фонтан"
	"DCG_HUD_Lane1"												"Линия1"
	"DCG_HUD_Lane2"												"Линия2"
	"DCG_HUD_Lane3"												"Линия3"
	"DCG_HUD_HeroReady"											"Этот герой вернётся в игру в следующую фазу размещения"
	"DCG_HUD_HeroSkipNextDeployment"							"Этот герой пропустит следующую фазу размещения"
	"DCG_HUD_GoldInfo"											"{i:availableGold} gold, +{i:previewGold} this combat"
	"DCG_HUD_GoldSpendInfo"										""
	"DCG_HUD_GoldPreviewInfo"									"(<span class=\"GoldCount\">+{i:previewGold}</span>/<span class=\"SilverCount\">+{i:previewSilver}</span>)"
	"DCG_HUD_ManaTooltip"										"Mana"
	"DCG_HUD_OverdrawTooltip"									"Overdrawn cards. Play cards to make room for them in your hand."
	"DCG_HUD_GoldTooltip"										"Gold"
	"DCG_HUD_HeroDeployNextTurn"								"Ready for deploy<br><span class=\"InspectHeroText\">(Double click to inspect hero)</span>"
	"DCG_HUD_HeroDeployTwoTurns"								"Deploying after next turn<br><span class=\"InspectHeroText\">(Double click to inspect hero)</span>"

	"DCG_WideLane_Hero"											"Этот герой вне поля зрения<br>Перетащите существо, чтобы прокрутить линию"
	"DCG_WideLane_Units"										"Существа вне поля зрения<br>Перетащите существо, чтобы прокрутить линию"
	"DCG_WideLane_AlertIcon"								    "Активная способность вне поля зрения<br>Перетащите существо, чтобы прокрутить линию"

	"DCG_CombatOrder_1"											"1st"
	"DCG_CombatOrder_2"											"2nd"
	"DCG_CombatOrder_3"											"3rd"

	"DCG_UI_CombatRightToLeft"									"Combat resolves right to left this round. Reverses each round."
	"DCG_UI_CombatLeftToRight"									"Combat resolves left to right this round. Reverses each round."

	"DCG_PhaseAnnouncement_RoundStart"						"Раунд {s:RoundNumberName}"
	"DCG_PhaseAnnouncement_RoundStart_Right"				""

	"DCG_PhaseAnnouncement_RoundEnd_"						"Конец раунда {s:RoundNumberName}"
	"DCG_PhaseAnnouncement_RoundEnd_Right"					""

	"DCG_PhaseAnnouncement_Lane1Start"						"Первая"
	"DCG_PhaseAnnouncement_Lane1Start_Right"				"линия"

	"DCG_PhaseAnnouncement_Lane2Start"						"Вторая"
	"DCG_PhaseAnnouncement_Lane2Start_Right"				"линия"

	"DCG_PhaseAnnouncement_Lane3Start"					"Третья"
	"DCG_PhaseAnnouncement_Lane3Start_Right"				"линия"

	"DCG_PhaseAnnouncement_ShoppingStart"				"Фаза"
	"DCG_PhaseAnnouncement_ShoppingStart_Right"				"покупок"

	"DCG_PhaseAnnouncement_HeroDeployment"				"Размещение"
	"DCG_PhaseAnnouncement_HeroDeployment_Right"			"героев"

	"DCG_PhaseAnnouncement_CombatPhase"					"Combat Phase"
	"DCG_PhaseAnnouncement_CombatPhase_Right"				"Phase"

	"DCG_PhaseAnnouncement_PreActionPhase"					"Перед действиями"
	"DCG_PhaseAnnouncement_ActionPhase"						"Фаза действий"
	"DCG_PhaseAnnouncement_PostCombatPhase"					"После сражения"
	"DCG_PhaseAnnouncement_VS"								"и"

	"DCG_PhaseAnnouncement_YourTurn"					"Your Turn"
	"DCG_PhaseAnnouncement_YourTurn_Right"				"Turn"
	
	"DCG_PhaseAnnouncement_OpponentTurn"				"Opponent's Turn"
	"DCG_PhaseAnnouncement_OpponentTurn_Right"			"Turn"

	"DCG_PhaseAnnouncement_YourTurnAgain"				"Go Again"
	"DCG_PhaseAnnouncement_YourTurnAgain_Right"			"Again"
	
	"DCG_PhaseAnnouncement_OpponentTurnAgain"			"Them Again"
	"DCG_PhaseAnnouncement_OpponentTurnAgain_Right"		"Again"

	"DCG_PhaseAnnouncement_DeployMid"					"Deploy Mid"
	"DCG_PhaseAnnouncement_DeployMid_Right"				"Mid"

	"DCG_PhaseAnnouncement_DeployLeft"					"Deploy Left"
	"DCG_PhaseAnnouncement_DeployLeft_Right"			"Left"

	"DCG_PhaseAnnouncement_DeployRight"					"Deploy Right"
	"DCG_PhaseAnnouncement_DeployRight_Right"			"Right"

	"DCG_PhaseAnnouncement_DeployHeroes"				"Deploy Heroes"
	"DCG_PhaseAnnouncement_DeployHeroes_Right"			"Heroes"

	"DCG_PhaseAnnouncement_NoActions"					"No Actions"
	"DCG_PhaseAnnouncement_NoActions_Right"				"Actions"

	"DCG_PhaseAnnouncement_OpponentPass"			"Opponent Passed"
	"DCG_PhaseAnnouncement_OpponentPass_Right"			"Passed"

	"DCG_PhaseAnnouncement_1"							"One"
	"DCG_PhaseAnnouncement_2"							"Two"
	"DCG_PhaseAnnouncement_3"							"Three"
	"DCG_PhaseAnnouncement_4"							"Four"
	"DCG_PhaseAnnouncement_5"							"Five"
	"DCG_PhaseAnnouncement_6"							"Six"
	"DCG_PhaseAnnouncement_7"							"Seven"
	"DCG_PhaseAnnouncement_8"							"Eight"
	"DCG_PhaseAnnouncement_9"							"Nine"
	"DCG_PhaseAnnouncement_10"							"Ten"
	"DCG_PhaseAnnouncement_11"							"Eleven"
	"DCG_PhaseAnnouncement_12"							"Twelve"
	"DCG_PhaseAnnouncement_13"							"Thirteen"
	"DCG_PhaseAnnouncement_14"							"Fourteen"
	"DCG_PhaseAnnouncement_15"							"Fifteen"
	"DCG_PhaseAnnouncement_16"							"Sixteen"
	"DCG_PhaseAnnouncement_17"							"Seventeen"
	"DCG_PhaseAnnouncement_18"							"Eighteen"
	"DCG_PhaseAnnouncement_19"							"Nineteen"
	"DCG_PhaseAnnouncement_20"							"Twenty"
	"DCG_PhaseAnnouncement_21"							"Twenty-One"
	"DCG_PhaseAnnouncement_22"							"Twenty-Two"
	"DCG_PhaseAnnouncement_23"							"Twenty-Three"
	"DCG_PhaseAnnouncement_24"							"Twenty-Four"
	"DCG_PhaseAnnouncement_25"							"Twenty-Five"
	"DCG_PhaseAnnouncement_26"							"Twenty-Six"
	"DCG_PhaseAnnouncement_27"							"Twenty-Seven"
	"DCG_PhaseAnnouncement_28"							"Twenty-Eight"
	"DCG_PhaseAnnouncement_29"							"Twenty-Nine"
	"DCG_PhaseAnnouncement_30"							"Thirty"
	"DCG_PhaseAnnouncement_31"							"Thirty-One"
	"DCG_PhaseAnnouncement_32"							"Thirty-Two"
	"DCG_PhaseAnnouncement_33"							"Thirty-Three"
	"DCG_PhaseAnnouncement_34"							"Thirty-Four"
	"DCG_PhaseAnnouncement_35"							"Thirty-Five"
	"DCG_PhaseAnnouncement_36"							"Thirty-Six"
	"DCG_PhaseAnnouncement_37"							"Thirty-Seven"
	"DCG_PhaseAnnouncement_38"							"Thirty-Eight"
	"DCG_PhaseAnnouncement_39"							"Thirty-Nine"
	"DCG_PhaseAnnouncement_40"							"Forty"
	"DCG_PhaseAnnouncement_41"							"Forty-One"
	"DCG_PhaseAnnouncement_42"							"Forty-Two"
	"DCG_PhaseAnnouncement_43"							"Forty-Three"
	"DCG_PhaseAnnouncement_44"							"Forty-Four"
	"DCG_PhaseAnnouncement_45"							"Forty-Five"
	"DCG_PhaseAnnouncement_46"							"Forty-Six"
	"DCG_PhaseAnnouncement_47"							"Forty-Seven"
	"DCG_PhaseAnnouncement_48"							"Forty-Eight"
	"DCG_PhaseAnnouncement_49"							"Forty-Nine"
	"DCG_PhaseAnnouncement_50"							"Fifty"
	"DCG_PhaseAnnouncement_51"							"Fifty-One"
	"DCG_PhaseAnnouncement_52"							"Fifty-Two"
	"DCG_PhaseAnnouncement_53"							"Fifty-Three"
	"DCG_PhaseAnnouncement_54"							"Fifty-Four"
	"DCG_PhaseAnnouncement_55"							"Fifty-Five"
	"DCG_PhaseAnnouncement_56"							"Fifty-Six"
	"DCG_PhaseAnnouncement_57"							"Fifty-Seven"
	"DCG_PhaseAnnouncement_58"							"Fifty-Eight"
	"DCG_PhaseAnnouncement_59"							"Fifty-Nine"
	"DCG_PhaseAnnouncement_60"							"Sixty"
	"DCG_PhaseAnnouncement_61"							"Sixty-One"
	"DCG_PhaseAnnouncement_62"							"Sixty-Two"
	"DCG_PhaseAnnouncement_63"							"Sixty-Three"
	"DCG_PhaseAnnouncement_64"							"Sixty-Four"
	"DCG_PhaseAnnouncement_65"							"Sixty-Five"
	"DCG_PhaseAnnouncement_66"							"Sixty-Six"
	"DCG_PhaseAnnouncement_67"							"Sixty-Seven"
	"DCG_PhaseAnnouncement_68"							"Sixty-Eight"
	"DCG_PhaseAnnouncement_69"							"Sixty-Nine"
	"DCG_PhaseAnnouncement_70"							"Seventy"
	"DCG_PhaseAnnouncement_71"							"Seventy-One"
	"DCG_PhaseAnnouncement_72"							"Seventy-Two"
	"DCG_PhaseAnnouncement_73"							"Seventy-Three"
	"DCG_PhaseAnnouncement_74"							"Seventy-Four"
	"DCG_PhaseAnnouncement_75"							"Seventy-Five"
	"DCG_PhaseAnnouncement_76"							"Seventy-Six"
	"DCG_PhaseAnnouncement_77"							"Seventy-Seven"
	"DCG_PhaseAnnouncement_78"							"Seventy-Eight"
	"DCG_PhaseAnnouncement_79"							"Seventy-Nine"
	"DCG_PhaseAnnouncement_80"							"Eighty"
	"DCG_PhaseAnnouncement_81"							"Eighty-One"
	"DCG_PhaseAnnouncement_82"							"Eighty-Two"
	"DCG_PhaseAnnouncement_83"							"Eighty-Three"
	"DCG_PhaseAnnouncement_84"							"Eighty-Four"
	"DCG_PhaseAnnouncement_85"							"Eighty-Five"
	"DCG_PhaseAnnouncement_86"							"Eighty-Six"
	"DCG_PhaseAnnouncement_87"							"Eighty-Seven"
	"DCG_PhaseAnnouncement_88"							"Eighty-Eight"
	"DCG_PhaseAnnouncement_89"							"Eighty-Nine"
	"DCG_PhaseAnnouncement_90"							"Ninety"
	"DCG_PhaseAnnouncement_91"							"Ninety-One"
	"DCG_PhaseAnnouncement_92"							"Ninety-Two"
	"DCG_PhaseAnnouncement_93"							"Ninety-Three"
	"DCG_PhaseAnnouncement_94"							"Ninety-Four"
	"DCG_PhaseAnnouncement_95"							"Ninety-Five"
	"DCG_PhaseAnnouncement_96"							"Ninety-Six"
	"DCG_PhaseAnnouncement_97"							"Ninety-Seven"
	"DCG_PhaseAnnouncement_98"							"Ninety-Eight"
	"DCG_PhaseAnnouncement_99"							"Ninety-Nine"
	"DCG_PhaseAnnouncement_100"							"One-Hundo"

	"DCG_Escape_Resume"											"Продолжить"
	"DCG_Escape_Options"										"Настройки"
	"DCG_Escape_Concede"										"Сдаться"
	"DCG_Escape_Main_Menu"										"Главное меню"
	"DCG_Escape_MuteOpponent"									"Выключить сообщения"
	"DCG_Escape_UnmuteOpponent"									"Включить сообщения"
	"DCG_Skip_Training"											"Пропустить обучение"
	"DCG_Popup_ResetTrainingTitle"								"Сбросить обучение?"
	"DCG_Popup_ResetTrainingBody"								"Вы сбросите состояние обучения и сможете пройти его снова. Продолжить?"
	"DCG_Escape_Quit"											"Выйти"
	"DCG_Escape_Feedback"										"Связь с разработчиком"
	
	"DCG_WaitingForOpponent"					"· Ожидание соперника ·"
	
	// Unplayable reason helper strings.
	"DCG_CardUnplayable_Locked"					"Карта под замком"
	"DCG_CardUnplayable_NoRedCaster"			"Нет красного героя"
	"DCG_CardUnplayable_NoGreenCaster"			"Нет зелёного героя"
	"DCG_CardUnplayable_NoBlueCaster"			"Нет синего героя"
	"DCG_CardUnplayable_NoBlackCaster"			"Нет чёрного героя"
	"DCG_CardUnplayable_CasterStunned"			"Герой оглушён"
	"DCG_CardUnplayable_CastersStunned"			"Герои оглушены"
	"DCG_CardUnplayable_CasterSilenced"			"Герой обезмолвлен"
	"DCG_CardUnplayable_CastersSilenced"		"Герои обезмолвлены"
	"DCG_CardUnplayable_NotEnoughMana"			"Недостаточно маны"
	"DCG_CardUnplayable_CriteriaUnmet"			"Не подходит"
	"DCG_CardUnplayable_NoValidTargets"			"Нет доступных целей"
	"DCG_CardUnplayable_NotEnoughGold"			"Недостаточно золота"
	"DCG_CardUnplayable_Oathed"					"На линии находится улучшение «Клятва»"
	"DCG_CardUnplayable_CantPlay"				"You can't play cards now"

	// Settings
	"DCG_Settings_Hotkeys"			                      "Управление"
	"DCG_Settings_System"						"Система"
	"DCG_Settings_AdvancedVideo"					"Расширенные настройки графики"
	"DCG_Settings_Resolution"					"Разрешение"
	"DCG_Settings_ResolutionValue"				"{d:r:pixelWidth}x{d:r:pixelHeight}"
	"DCG_Settings_ResolutionValueHighDPI"		"{d:r:pixelWidth}x{d:r:pixelHeight} (Retina)"
	"DCG_Settings_UseNativeResolution"			"Текущее разрешение монитора"
	"DCG_Settings_UseNativeResolution_Unsupported"	"Текущее разрешение монитора (не поддерживается для этого монитора)"
	"DCG_Settings_UseCustomResolution"			"Расширенные настройки"
	"DCG_Settings_AspectRatio"					"Соотношение Сторон"
	"DCG_Settings_4x3Aspect"					"4:3"
	"DCG_Settings_16x9Aspect"					"16:9"
	"DCG_Settings_16x10Aspect"					"16:10"
	"DCG_Settings_ResolutionSize"				"Разрешение"
	"DCG_Settings_DisplayMode"					"Режим отображения"
	"DCG_Settings_Fullscreen"					"ЭПолный экран"
	"DCG_Settings_Coop_Fullscreen"             "Упрощённый полный экран"
	"DCG_Settings_Window"						"В окне"
	"DCG_Settings_Borderless"					"В окне без рамки"
	"DCG_Settings_Apply"						"Применить"
	"DCG_Settings_ResetDefaults"				"По умолчанию"
	"DCG_Settings_Rendering"					"Рендеринг"
	"DCG_Settings_BasicVideoSettings"			"Простые настройки"
	"DCG_Settings_VideoFastest"					"Качество"
	"DCG_Settings_VideoBestLooking"				"Качество"
	"DCG_Settings_AdvancedVideoSettings"		"Расширенные настройки"
	"DCG_Settings_AdditiveLight"				"Доп. обработка света"
	"DCG_Settings_WorldLight"					"Освещение мира"
	"DCG_Settings_AmbientOcclusion"				"Глобальное затенение"
	"DCG_Settings_AntiAliasing"					"Сглаживание"
	"DCG_Settings_VSync"						"Сглаживание"
	"DCG_Settings_EnableAdvancedConfiguration"  "Включить расширенные настройки"
	"DCG_Settings_RenderQuality"				"Качество обработки экрана"
	"DCG_Settings_ShadowQuality"				"Качество теней"
	"DCG_Settings_ShadowQuality_Off"			"Откл"
	"DCG_Settings_TextureQuality"				"Качество текстур"
	"DCG_Settings_TextureQuality_Low"			"Низкое"
	"DCG_Settings_TextureQuality_Med"			"Среднее"
	"DCG_Settings_TextureQuality_High"			"Высокое"
	"DCG_Settings_LightingQuality"				"Качество освещения"
	"DCG_Settings_LightingQuality_Low"			"Низкое"
	"DCG_Settings_LightingQuality_Med"			"Среднее"
	"DCG_Settings_LightingQuality_High"			"Высокое"
	"DCG_Settings_FPS_Max"						"Максимальное число кадров в секунду"
	"DCG_Settings_Audio"						"Звук"
	"DCG_Settings_MasterVolume"					"Весь звук"
	"DCG_Settings_GameVolume"					"Игра"
	"DCG_Settings_MusicVolume"					"Музыка"
	"DCG_Settings_VoiceVolume"					"Голос"
	"DCG_Settings_UnitSpeechVolume"				"Речь существ"
	"DCG_Settings_UnitSpeech"					"Звуки чёртиков"
	"DCG_Settings_ImpVolume"					"Звуки чёртиков (вы их слышите?)"
	"DCG_Settings_AudioDefaults"				"Звук по умолчанию"
	"DCG_Settings_Other"						"Другое"
	"DCG_Settings_Reset"						"Сброс"
	"DCG_Settings_ResetTraining"				"Сброс обучения"
	"DCG_Settings_Credits"						"Создатели"
	"DCG_CardInfo_SubtitleUnitSeech"			"Субтитры речи существ"
	"DCG_CardInfo_Lore"							"История"
	"DCG_CardInfo_Lore_Play"					"Играть"
	"DCG_CardInfo_Lore_Stop"					"Остановить"
	"DCG_Settings_PlaySoundInDesktop"			"Звук в фоновом режиме"
	"DCG_Settings_SkipMovies"					"Пропускать заставки"
	"DCG_Settings_AnonymousMode"				"Анонимный режим"
	"DCG_Anonymous"								"Аноним"
	"DCG_settings_cursor_scale_overridden"		"Настройки размера курсора игнорируются, если используется параметр запуска -cursor_scale_percent"
	"DCG_settings_cursor_scale"					"Размер курсора"
	"DCG_settings_auto_cursor_scale"			"Автоматический размер курсора"
	"DCG_settings_Colorblind_Mode"				"Режим Дальтонизма"
	"DCG_settings_Colorblind_Mode_Suits"		"Скрыть значки цветов"
	"DCG_Settings_CursorSmallest"				"Маленький"
	"DCG_Settings_CursorLargest"				"Большой"
	"DCG_Settings_Closed_Captioning"			"Закрытый Заголовок"
	"DCG_Settings_CC_All_Subtitles"				"Все Субтитры"
	"DCG_Settings_CC_Unit_Speech_Only"			"Только Речь Юнитов"
	"DCG_Settings_CC_Off"						"Откл"

	// Keybindings
	"DCG_Keybindings_MoveCamera"                "Передвижение камеры"
	"DCG_Keybindings_MoveLaneLeft"				"Переход на линию левее"
	"DCG_Keybindings_MoveLaneLeftAlternate" 	"  Переход на линию левее (альт.)"
	"DCG_Keybindings_MoveLaneRight"				"Переход на линию правее"
	"DCG_Keybindings_MoveLaneRightAlternate"	"  Переход на линию правее (альт.)"
	"DCG_Keybindings_CameraToggleStrategic"		"Смена масштаба"
	"DCG_Keybindings_MoveToLane1"				"Показать первую линию"
	"DCG_Keybindings_MoveToLane2"				"Показать среднюю линию"
	"DCG_Keybindings_MoveToLane3"				"Показать последнюю линию"

	"DCG_Keybindings_Chat"					    "Чат"
	"DCG_Keybindings_ToggleChat"				"Колесо чата существ"
	"DCG_Keybindings_ToggleUnitChat"			"Колесо чата существ"
	"DCG_Keybindings_SendCustomMessage"			"Своё сообщениеe"

	"DCG_Keybindings_GameFlow"					"Процесс игры"
	"DCG_Keybindings_ActivatePassCoin"  		"Пас"
	"DCG_Keybindings_CancelCasting"				"Отмена разыгрывания карты"
	"DCG_Keybindings_Pause"						"Пауза"
	"DCG_Keybindings_ToggleAutoPass"			"Toggle Auto Pass Until Combat"
	"DCG_Keybindings_ShowDecklist"				"Показать свою колоду"
	"DCG_Keybindings_ShowOpponentsDecklist"		"Показать колоду противника"

	"DCG_Keybindings_Hand"							"Рука"
	"DCG_Keybindings_CycleHandSortMethod"			"Поменять сортировку руки"
	"DCG_Keybindings_HandScrollLeft"				"Прокрутка руки влево"
	"DCG_Keybindings_HandScrollRight"				"Прокрутка руки вправо"
	"DCG_Keybindings_ToggleHandDuringDeployment"	"Размещение: показать/скрыть руку"

	"DCG_Keybindings_Shop"						"Лавка"
	"DCG_Keybindings_ToggleShop"  				"Показать/скрыть"
	"DCG_Keybindings_HoldSecretShopCard"		"Отложить предмет в лавке"
	
	// Keybinding tooltips
	"DCG_Hotkeys_Tooltip_CameraLeftLane"			"Альтернативная клавиша: переместить камеру на одну линию влево."
	"DCG_Hotkeys_Tooltip_CameraLeftLaneAlternate"	"Альтернативная клавиша: переместить камеру на одну линию влево."
	"DCG_Hotkeys_Tooltip_CameraRightLane"			"Переместить камеру на одну линию вправо."
	"DCG_Hotkeys_Tooltip_CameraRightLaneAlternate"	"Альтернативная клавиша: переместить камеру на одну линию вправо."
	"DCG_Hotkeys_Tooltip_CameraZoom"				"Приблизить камеру к одной линии или отдалить её, чтобы видеть все три линии."
	"DCG_Hotkeys_Tooltip_CameraLane1"				"Переместить камеру на первую линию, при необходимости приблизив её"
	"DCG_Hotkeys_Tooltip_CameraLane2"				"Переместить камеру на вторую линию, при необходимости приблизив её"
	"DCG_Hotkeys_Tooltip_CameraLane3"				"Переместить камеру на третью линию, при необходимости приблизив её"

	"DCG_Hotkeys_Tooltip_ToggleChat"			"Для общения."
	"DCG_Hotkeys_Tooltip_ToggleUnitChat"		"Отправить сообщение от лица существа или башни."

	"DCG_Hotkeys_Tooltip_ActivatePassCoin"		"Жетон хода"
	"DCG_Hotkeys_Tooltip_CancelCasting"			"Отменить разыгрывание заклинания."
